,Date,US,Germany,India,France
601,2021-09-14,41531511,4089476,33316755,7007436
602,2021-09-15,41704724,4101931,33347325,7007819
603,2021-09-16,41863377,4114856,33381728,7022203
604,2021-09-17,42074007,4125878,33417390,7029959
605,2021-09-18,42150320,4125878,33448163,7037931
606,2021-09-19,42196351,4125878,33478419,7043875
607,2021-09-20,42365732,4145852,33504534,7045422
608,2021-09-21,42487611,4150516,33531498,7054198
609,2021-09-22,42619242,4160970,33563421,7061323
610,2021-09-23,42748318,4171666,33594803,7068630
611,2021-09-24,42922887,4181393,33624419,7075305
612,2021-09-25,42984802,4181393,33652745,7080675
613,2021-09-26,43040459,4181393,33678786,7085607
614,2021-09-27,43194360,4199400,33697581,7087110
615,2021-09-28,43307569,4203571,33716451,7094334
616,2021-09-29,43429449,4215351,33739980,7100572
617,2021-09-30,43539596,4227501,33766707,7106028
618,2021-10-01,43694428,4237619,33791061,7111154
619,2021-10-02,43744224,4237619,33813903,7116415
620,2021-10-03,43790462,4237619,33834702,7120214
621,2021-10-04,43931026,4255388,33853048,7121507
622,2021-10-05,44026584,4260187,33871881,7127454
623,2021-10-06,44139333,4271734,33894312,7137177
624,2021-10-07,44240441,4283378,33915569,7142387
625,2021-10-08,44371002,4293807,33935309,7147186
626,2021-10-09,44411382,4293807,33953475,7152009
627,2021-10-10,44452401,4293807,33971607,7156066
628,2021-10-11,44545245,4313384,33985920,7157206
629,2021-10-12,44656250,4318355,34001743,7163317
630,2021-10-13,44764567,4330258,34020730,7164924
631,2021-10-14,44850751,4342640,34037592,7174580
632,2021-10-15,44959502,4354158,34053573,7180773
633,2021-10-16,45000892,4354158,34067719,7185744
634,2021-10-17,45034083,4354158,34081315,7189566
635,2021-10-18,45130714,4377845,34094373,7190716
636,2021-10-19,45213344,4384616,34108996,7196754
637,2021-10-20,45305577,4401631,34127450,7202840
638,2021-10-21,45382909,4417708,34143236,7209126
639,2021-10-22,45478808,4437280,34159562,7215584
640,2021-10-23,45513139,4437280,34175468,7221941
641,2021-10-24,45534110,4437280,34189774,7226974
642,2021-10-25,45643583,4472730,34202202,7228331
643,2021-10-26,45711249,4483203,34215653,7235100
644,2021-10-27,45813716,4506415,34231809,7242180
645,2021-10-28,45888274,4534452,34246157,7248285
646,2021-10-29,45982991,4559120,34260470,7254779
647,2021-10-30,46019330,4559120,34273300,7262178
648,2021-10-31,46053361,4559120,34285814,7268527
649,2021-11-01,46163201,4607208,34296237,7270410
650,2021-11-02,46233294,4618021,34308140,7272516
651,2021-11-03,46320009,4638419,34321025,7282823
652,2021-11-04,46401241,4672368,34333754,7292220
653,2021-11-05,46498331,4709488,34344683,7301303
654,2021-11-06,46535625,4709488,34355509,7310967
655,2021-11-07,46574617,4709488,34366987,7319526
656,2021-11-08,46681947,4782546,34377113,7321767
657,2021-11-09,46761945,4804378,34388579,7334332
658,2021-11-10,46857079,4844054,34401670,7346277
659,2021-11-11,46914755,4894250,34414186,7358920
660,2021-11-12,47058876,4942890,34426036,7362807
661,2021-11-13,47105069,4942890,34437307,7377483
662,2021-11-14,47138971,4942890,34447536,7389989
663,2021-11-15,47270028,5045076,34456401,7393296
664,2021-11-16,47358009,5077124,34466598,7413180
665,2021-11-17,47470415,5129950,34478517,7433545
666,2021-11-18,47578998,5195321,34489623,7453941
667,2021-11-19,47705269,5248291,34499925,7475211
668,2021-11-20,47752525,5248291,34510413,7497912
669,2021-11-21,47794054,5248291,34518901,7517669
670,2021-11-22,47934950,5385585,34526480,7523008
671,2021-11-23,48026672,5430911,34535763,7553513
672,2021-11-24,48138243,5497795,34544882,7586146
673,2021-11-25,48175300,5573756,34555431,7619656
674,2021-11-26,48229993,5650170,34563749,7654128
675,2021-11-27,48258460,5650170,34572523,7691217
676,2021-11-28,48303583,5650170,34580832,7722804
677,2021-11-29,48488733,5791060,34587822,7731351
678,2021-11-30,48606339,5836813,34596776,7778575
679,2021-12-01,48743340,5903999,34606541,7829045
680,2021-12-02,48881253,5977208,34615757,7877490
681,2021-12-03,49039251,6051560,34624360,7927361
682,2021-12-04,49107059,6051560,34624360,7978825
683,2021-12-05,49163621,6051560,34641561,8020978
684,2021-12-06,49338540,6185961,34648383,8032613
685,2021-12-07,49451008,6222020,34656822,8091667
686,2021-12-08,49600386,6291621,34666241,8153025
687,2021-12-09,49724320,6362232,34674643,8209911
688,2021-12-10,49881735,6423520,34682633,8265076
689,2021-12-11,49939477,6423520,34690510,8318995
690,2021-12-12,49992874,6423520,34697860,8362843
691,2021-12-13,50176127,6531606,34703644,8374944
692,2021-12-14,50289477,6562429,34710628,8438360
693,2021-12-15,50435092,6613730,34718602,8504074
694,2021-12-16,50577283,6670407,34726049,8564979
695,2021-12-17,50769791,6721375,34726049,8623131
696,2021-12-18,50851472,6721375,34733194,8681667
697,2021-12-19,50942391,6721375,34746838,8730140
698,2021-12-20,51183554,6809622,34752164,8745272
699,2021-12-21,51365828,6833050,34758481,8818154
700,2021-12-22,51613682,6878709,34765976,8902466
701,2021-12-23,51888071,6923636,34772626,8994106
702,2021-12-24,52136339,6923636,34779815,9088232
703,2021-12-25,52224654,6923636,34786802,9192843
704,2021-12-26,52408175,6923636,34793333,9220540
705,2021-12-27,52914246,7005289,34799691,9251021
706,2021-12-28,53286705,7026369,34808886,9430829
707,2021-12-29,53797725,7066412,34822040,9639037
708,2021-12-30,54395674,7109182,34838804,9845583
709,2021-12-31,54907717,7109182,34861579,10077783
710,2022-01-01,55099948,7109182,34889132,10296909
711,2022-01-02,55396191,7109182,34922882,10355341
712,2022-01-03,56438983,7109182,34960261,10422830
713,2022-01-04,57267794,7238408,35018358,10694804
714,2022-01-05,57943576,7297320,35109286,11027112
715,2022-01-06,58788182,7361660,35226386,11290010
716,2022-01-07,59667177,7417995,35368372,11618256
717,2022-01-08,60075853,7417995,35528004,11921925
718,2022-01-09,60569265,7417995,35707727,12218022
719,2022-01-10,61923770,7535691,35875790,12311963
720,2022-01-11,62709985,7581381,36070510,12680780
721,2022-01-12,63563852,7661811,36317927,13042665
722,2022-01-13,64429141,7743228,36582129,13351053
723,2022-01-14,65308292,7835451,36850962,13680775
724,2022-01-15,65724593,7835451,37122164,14005385
725,2022-01-16,66210693,7835451,37380253,14283514
726,2022-01-17,66870941,8000122,37618271,14386178
727,2022-01-18,68003787,8074527,37901241,14851448
728,2022-01-19,68913628,8186850,38218773,15288014
729,2022-01-20,69644507,8320386,38566027,15715329
730,2022-01-21,70450244,8460546,38903731,16116748
731,2022-01-22,70760203,8460546,39237264,16506090
732,2022-01-23,71131122,8460546,39543328,16807733
733,2022-01-24,72039869,8744840,39799202,16917220
734,2022-01-25,72532127,8871795,40085116,17420569
735,2022-01-26,73209225,9035795,40371500,17848291
736,2022-01-27,73712510,9238931,40622709,18241888
737,2022-01-28,74325157,9429079,40858241,18596157
738,2022-01-29,74507829,9429079,41092522,18928572
739,2022-01-30,74708840,9429079,41302440,19178039
740,2022-01-31,75244152,9815533,41469499,19266496
741,2022-02-01,75570589,9978146,41630885,19681231
742,2022-02-02,75897686,10186644,41803318,19998301
743,2022-02-03,76171309,10422764,41952712,20274710
744,2022-02-04,76526048,10671602,42080664,20517059
745,2022-02-05,76614468,10671602,42188138,20731613
746,2022-02-06,76699490,10671602,42272014,20887052
747,2022-02-07,77042080,11117857,42339611,20935910
748,2022-02-08,77255897,11287428,42410976,21174600
749,2022-02-09,77443048,11521678,42478060,21177663
750,2022-02-10,77613413,11769540,42536137,21511997
751,2022-02-11,77821582,12009712,42586544,21646561
752,2022-02-12,77874376,12009712,42631421,21765182
753,2022-02-13,77933572,12009712,42665534,21851747
754,2022-02-14,78100771,12421126,42692943,21884370
755,2022-02-15,78211154,12580343,42723558,21886335
756,2022-02-16,78324961,12800315,42754315,22130264
757,2022-02-17,78426229,13035941,42780235,22223882
758,2022-02-18,78570116,13255989,42802505,22310014
759,2022-02-19,78602274,13255989,42822473,22386566
760,2022-02-20,78625816,13255989,42838524,22445580
761,2022-02-21,78705461,13636993,42851929,22466076
762,2022-02-22,78794643,13762895,42867031,22563594
763,2022-02-23,78878687,13971947,42881179,22638153
764,2022-02-24,78945215,14188269,42894345,22707110
765,2022-02-25,79018857,14399012,42905844,22765934
766,2022-02-26,79066699,14399012,42916117,22819557
767,2022-02-27,79085232,14399012,42924130,22862157
768,2022-02-28,79181996,14745107,42931045,22877926
769,2022-03-01,79228450,14867218,42938599,22959368
770,2022-03-02,79281474,15053624,42945160,23017711
771,2022-03-03,79329961,15264297,42951556,23079453
772,2022-03-04,79380604,15481890,42957477,23137902
773,2022-03-05,79395871,15481890,42962953,23191580
774,2022-03-06,79408495,15481890,42967315,23236908
775,2022-03-07,79469829,15869417,42971308,23253235
776,2022-03-08,79499165,15869417,42975883,23346927
777,2022-03-09,79536060,16242070,42980067,23417253
778,2022-03-10,79581728,16504822,42984261,23492815
779,2022-03-11,79630488,16757658,42987875,23565274
780,2022-03-12,79641006,16757658,42990991,23635798
781,2022-03-13,79652314,16757658,42993494,23694834
782,2022-03-14,79686584,17233729,42996062,23717460
783,2022-03-15,79710097,17432617,42998938,23834842
784,2022-03-16,79761332,17695210,43001477,23943801
785,2022-03-17,79813357,17990141,43004005,24046195
786,2022-03-18,79844989,18287986,43006080,24143852
787,2022-03-19,79856111,18287986,43007841,24241956
788,2022-03-20,79867776,18287986,43009390,24323239
789,2022-03-21,79908821,18772331,43010971,24347772
790,2022-03-22,79930050,18994411,43012749,24528957
791,2022-03-23,79969950,19278143,43014687,24683075
792,2022-03-24,80012001,19596530,43016372,24823603
793,2022-03-25,80056416,19893028,43018032,24967222
794,2022-03-26,80066111,19893028,43019453,25106739
795,2022-03-27,80078147,19893028,43020723,25216913
796,2022-03-28,80115859,20323779,43021982,25246720
797,2022-03-29,80138918,20561131,43023215,25464389
798,2022-03-30,80177035,20829608,43024440,25633476
799,2022-03-31,80221585,21104509,43025775,25803173
800,2022-04-01,80252748,21357039,43027035,25952226
801,2022-04-02,80264828,21357039,43028131,26084340
802,2022-04-03,80269842,21357039,43029044,26186606
803,2022-04-04,80307960,21668677,43029839,26218724
804,2022-04-05,80332930,21849074,43030925,26428476
805,2022-04-06,80372860,22064059,43031958,26579448
806,2022-04-07,80422532,22265788,43033067,26738483
807,2022-04-08,80495710,22441051,43034217,26887490
808,2022-04-09,80508766,22441051,43035271,27029271
809,2022-04-10,80518573,22441051,43036132,27136925
810,2022-04-11,80556687,22677986,43036928,27162463
811,2022-04-12,80591910,22840776,43038016,27353225
812,2022-04-13,80647978,23017079,43039023,27499728
813,2022-04-14,80695831,23182447,43039972,27637292
814,2022-04-15,80730300,23182447,43040947,27762686
815,2022-04-16,80743119,23182447,43042097,27874269
816,2022-04-17,80751042,23182447,43044280,27960919
817,2022-04-18,80810593,23182447,43045527,27980729
818,2022-04-19,80849092,23459628,43047594,28006219
819,2022-04-20,80916866,23658211,43049974,28162002
820,2022-04-21,80977349,23844536,43052425,28266009
821,2022-04-22,81065925,24006254,43054952,28354529
822,2022-04-23,81086628,24006254,43057545,28435100
823,2022-04-24,81100611,24006254,43060086,28494054
824,2022-04-25,81168415,24200596,43060097,28508116
825,2022-04-26,81213305,24337394,43065496,28605614
826,2022-04-27,81303117,24479055,43068799,28673411
827,2022-04-28,81380091,24609159,43072176,28733434
828,2022-04-29,81441344,24710769,43075864,28786413
829,2022-04-30,81466441,24710769,43079188,28835895
830,2022-05-01,81483804,24710769,43082345,28872621
831,2022-05-02,81577677,24813817,43084913,28881384
832,2022-05-03,81627341,24927339,43088118,28948497
833,2022-05-04,81739690,25033970,43091393,28996577
834,2022-05-05,81827903,25130137,43094938,29040934
835,2022-05-06,81956955,25215210,43098743,29081169
836,2022-05-07,81986006,25215210,43102194,29119127
837,2022-05-08,81992619,25215210,43105401,29148451
838,2022-05-09,82121797,25299300,43107689,29155815
839,2022-05-10,82192316,25406868,43110586,29212276
840,2022-05-11,82353337,25503878,43113413,29252875
841,2022-05-12,82458677,25592839,43116254,29289023
842,2022-05-13,82545938,25661838,43119112,29321831
843,2022-05-14,82564426,25661838,43121599,29352290
844,2022-05-15,82597555,25661838,43123801,29375134
845,2022-05-16,82774479,25732153,43125370,29381085
846,2022-05-17,82859805,25818405,43127199,29424812
847,2022-05-18,83063638,25890456,43129563,29489304
848,2022-05-19,83199187,25949175,43131822,29517146
849,2022-05-20,83347968,25998085,43134145,29541498
850,2022-05-21,83376122,25998085,43136371,29564005
851,2022-05-22,83389299,25998085,43138393,29580970
852,2022-05-23,83538499,26045528,43140068,29551335
853,2022-05-24,83622359,26109965,43142192,29583616
854,2022-05-25,83833099,26159106,43144820,29605758
855,2022-05-26,83968629,26159106,43147530,29626992
856,2022-05-27,84076461,26200663,43150215,29631816
857,2022-05-28,84090734,26244107,43153043,29655398
858,2022-05-29,84097861,26244107,43155749,29671838
859,2022-05-30,84160373,26244107,43158087,29676522
860,2022-05-31,84327544,26305996,43160832,29711870
861,2022-06-01,84556267,26360953,43164544,29738170
862,2022-06-02,84678587,26409455,43168585,29763546
863,2022-06-03,84835573,26452148,43172547,29788676
864,2022-06-04,84863718,26452148,43176817,29813848
865,2022-06-05,84880100,26452148,43181335,29834390
866,2022-06-06,85039922,26452148,43185049,29840626
867,2022-06-07,85126555,26498361,43190282,29852463
868,2022-06-08,85325154,26583016,43197522,29906452
869,2022-06-09,85457093,26660652,43205106,29946603
870,2022-06-10,85563254,26738530,43213435,29946697
871,2022-06-11,85598649,26738530,43222017,29946603
872,2022-06-12,85616523,26738530,43230101,29946603
873,2022-06-13,85768092,26809245,43236695,29946647
874,2022-06-14,85858269,26915085,43245517,30123426
875,2022-06-15,86043157,27007429,43257730,30175534
876,2022-06-16,86173188,27096571,43270577,30228615
877,2022-06-17,86312000,27124689,43283793,30279240
878,2022-06-18,86329794,27124689,43296692,30279240
879,2022-06-19,86347944,27124689,43309473,30279240
880,2022-06-20,86443987,27211896,43319396,30381221
881,2022-06-21,86555173,27334993,43331645,30476915
882,2022-06-22,86740533,27454225,43344958,30555038
883,2022-06-23,86879240,27573585,43362294,30634890
884,2022-06-24,86996447,27681775,43378234,30714200
885,2022-06-25,87037562,27681775,43389973,30714200
886,2022-06-26,87060024,27681775,43407046,30714200
887,2022-06-27,87219959,27771911,43418839,30879062
888,2022-06-28,87317769,27914240,43433345,31027099
889,2022-06-29,87507662,28048190,43452164,31151971
890,2022-06-30,87675415,28180861,43469234,31285317
891,2022-07-01,87832253,28293960,43486326,31410383
892,2022-07-02,87852832,28293960,43502429,31410383
893,2022-07-03,87861491,28293960,43518564,31410383
894,2022-07-04,87937948,28394995,43531650,31653749
895,2022-07-05,88079364,28542484,43547809,31861391
896,2022-07-06,88279768,28673212,43566739,32016207
897,2022-07-07,88418829,28808614,43585554,32177472
898,2022-07-08,88556536,28926346,43604394,32318670
899,2022-07-09,88585837,28926346,43622651,32318670
900,2022-07-10,88610605,28926346,43639329,32318670
901,2022-07-11,88811480,29025760,43652944,32570121
902,2022-07-12,88959681,29180489,43669850,32753754
903,2022-07-13,89163998,29308100,43689989,32881645
904,2022-07-14,89339450,29460249,43710027,32881645
905,2022-07-15,89492643,29569943,43730071,32881809
906,2022-07-16,89532095,29569943,43750599,32881809
907,2022-07-17,89561931,29569943,43767534,32881809
908,2022-07-18,89726778,29692989,43783062,33239622
909,2022-07-19,89843975,29853680,43801678,33375449
910,2022-07-20,90060378,29994679,43824728,33465759
911,2022-07-21,90236138,30131303,43847065,33546628
912,2022-07-22,90367542,30239122,43868476,33621366
913,2022-07-23,90394143,30239122,43888755,33621366
914,2022-07-24,90417634,30239122,43905621,33621366
915,2022-07-25,90607493,30331133,43920451,33751295
916,2022-07-26,90739588,30476605,43938764,33840851
917,2022-07-27,90979365,30598385,43959321,33899799
918,2022-07-28,91156742,30702511,43979730,33951450
919,2022-07-29,91315977,30787309,44000138,33997224
920,2022-07-30,91332204,30787309,44019811,33997224
921,2022-07-31,91345425,30787309,44036275,33997224
922,2022-08-01,91515236,30854175,44050009,34077286
923,2022-08-02,91606171,30956873,44067144,34133344
924,2022-08-03,91806570,31044554,44087037,34172819
925,2022-08-04,91993893,31119199,44107588,34206310
926,2022-08-05,92100011,31178705,44126994,34237067
927,2022-08-06,92115152,31178705,44145709,34237067
928,2022-08-07,92127889,31178705,44145709,34237067
929,2022-08-08,92283082,31228322,44174650,34292342
930,2022-08-09,92382841,31307020,44190697,34331725
931,2022-08-10,92579320,31379757,44206996,34359013
932,2022-08-11,92742297,31439645,44223557,34383344
933,2022-08-12,92838951,31489484,44239372,34406092
934,2022-08-13,92922767,31489484,44253464,34406092
935,2022-08-14,92932588,31489484,44268381,34406092
936,2022-08-15,93055285,31535340,44277711,34406296
937,2022-08-16,93147062,31599085,44286256,34455445
938,2022-08-17,93283935,31666475,44298864,34491381
939,2022-08-18,93433063,31725160,44314618,34514986
940,2022-08-19,93510612,31771884,44327890,34535255
941,2022-08-20,93521828,31771884,44339429,34535255
942,2022-08-21,93531703,31771884,44348960,34535255
943,2022-08-22,93660652,31808228,44357546,34573992
944,2022-08-23,93759938,31868639,44368195,34603400
945,2022-08-24,93911627,31921578,44378920,34624825
946,2022-08-25,94051288,31970779,44389176,34644718
947,2022-08-26,94172008,32008122,44398696,34662834
948,2022-08-27,94183881,32008122,44408132,34662834
949,2022-08-28,94192404,32008122,44415723,34662834
950,2022-08-29,94298521,32041350,44415723,34698583
951,2022-08-30,94374035,32095854,44415723,34726269
952,2022-08-31,94528255,32145157,44436339,34745833
953,2022-09-01,94659072,32184553,44442507,34764504
954,2022-09-02,94723711,32218483,44449726,34780903
955,2022-09-03,94735199,32218483,44456535,34780903
956,2022-09-04,94742681,32218483,44462445,34780903
957,2022-09-05,94776356,32247828,44466862,34812853
958,2022-09-06,94888803,32297537,44469661,34839791
959,2022-09-07,95012774,32344032,44478636,34859956
960,2022-09-08,95119998,32386089,44484729,34879822
961,2022-09-09,95220758,32422084,44490283,34898909
962,2022-09-10,95230918,32422084,44495359,34898909
963,2022-09-11,95239962,32422084,44500580,34898909
964,2022-09-12,95309350,32452250,44502363,34939449
965,2022-09-13,95389023,32507180,44510057,34985401
966,2022-09-14,95492224,32558479,44516479,35015024
967,2022-09-15,95575861,32604993,44522777,35048305
968,2022-09-16,95632097,32643742,44528524,35076991
969,2022-09-17,95640668,32643742,44534188,35076991
970,2022-09-18,95646159,32643742,44539046,35076991
971,2022-09-19,95701850,32680356,44543089,35138509
972,2022-09-20,95771112,32740593,44545011,35190357
973,2022-09-21,95869476,32797308,44553042,35228660
974,2022-09-22,95950546,32854286,44558425,35267124
975,2022-09-23,96033830,32905086,44563337,35304648
976,2022-09-24,96043588,32905086,44568114,35304648
977,2022-09-25,96050333,32905086,44572243,35304648
978,2022-09-26,96095885,32952050,44575473,35381526
979,2022-09-27,96156934,33041332,44579088,35456751
980,2022-09-28,96243479,33137143,44583360,35508658
981,2022-09-29,96328015,33216006,44587307,35560024
982,2022-09-30,96361580,33312373,44591112,35608285
983,2022-10-01,96369625,33312373,44594487,35608285
984,2022-10-02,96375509,33312373,44597498,35608285
985,2022-10-03,96416999,33312373,44599466,35701024
986,2022-10-04,96472358,33386229,44601892,35790213
987,2022-10-05,96543735,33519761,44604463,35856904
988,2022-10-06,96604699,33652255,44606460,35922441
989,2022-10-07,96663035,33826367,44609257,35983605
990,2022-10-08,96670876,33826367,44612013,35983605
991,2022-10-09,96676516,33826367,44614437,35983605
992,2022-10-10,96699589,33948632,44616394,36092874
993,2022-10-11,96760434,34121168,44616235,36187658
994,2022-10-12,96825135,34257916,44621319,36255606
995,2022-10-13,96888756,34403129,44623997,36319858
996,2022-10-14,96915830,34517327,44626427,36381207
997,2022-10-15,96921917,34517327,44628828,36381207
998,2022-10-16,96928733,34517327,44630888,36381207
999,2022-10-17,96967685,34608837,44632430,36487995
1000,2022-10-18,97011349,34758889,44634376,36575661
1001,2022-10-19,97072048,34888963,44636517,36638723
1002,2022-10-20,97129478,35005769,44638636,36695541
1003,2022-10-21,97175604,35098062,44640748,36744628
1004,2022-10-22,97181092,35098062,44642742,36744628
1005,2022-10-23,97189727,35098062,44644076,36744628
1006,2022-10-24,97229112,35172694,44644938,36826751
1007,2022-10-25,97272915,35288228,44645768,36886459
1008,2022-10-26,97344455,35383015,44646880,36927700
1009,2022-10-27,97403798,35461920,44649088,36964789
1010,2022-10-28,97434240,35523412,44650662,36990572
1011,2022-10-29,97443365,35523412,44652256,36990572
1012,2022-10-30,97446797,35523412,44653592,36990572
1013,2022-10-31,97491766,35571131,44654638,37033519
1014,2022-11-01,97540736,35619687,44655828,37033582
1015,2022-11-02,97614775,35649648,44655926,37068741
1016,2022-11-03,97685617,35728277,44658365,37110800
1017,2022-11-04,97724326,35784912,44659447,37140238
1018,2022-11-05,97729627,35784912,44660579,37140238
1019,2022-11-06,97737758,35784912,44661504,37140238
1020,2022-11-07,97778436,35823771,44660293,37191901
1021,2022-11-08,97809892,35884834,44660293,37232493
1022,2022-11-09,97907217,35932654,44660293,37261364
1023,2022-11-10,97973552,35971322,44664810,37288432
1024,2022-11-11,97986735,36005025,44665643,37288432
1025,2022-11-12,97992007,36005025,44666372,37288432
1026,2022-11-13,97994653,36005025,44666924,37288432
1027,2022-11-14,98045066,36033395,44667390,37354169
1028,2022-11-15,98104944,36080574,44667900,37403757
1029,2022-11-16,98189692,36119184,44668535,37437677
1030,2022-11-17,98243790,36152490,44667967,37471008
1031,2022-11-18,98299385,36180077,44669748,37508185
1032,2022-11-19,98304397,36180077,44670240,37508185
1033,2022-11-20,98308346,36180077,44670646,37508185
1034,2022-11-21,98352864,36205405,44670940,37576243
1035,2022-11-22,98409179,36247081,44671300,37641319
1036,2022-11-23,98522619,36280371,44671708,37690658
1037,2022-11-24,98538940,36318461,44672048,37741188
1038,2022-11-25,98561273,36348477,44672442,37789817
1039,2022-11-26,98564574,36348477,44672787,37789817
1040,2022-11-27,98570524,36348477,44673078,37789817
1041,2022-11-28,98632854,36373165,44673293,37885199
1042,2022-11-29,98700309,36419717,44673567,37979248
1043,2022-11-30,98813321,36463485,44673863,38046448
1044,2022-12-01,98903928,36499600,44674138,38115885
1045,2022-12-02,98968313,36530020,44674390,38174893
1046,2022-12-03,98975438,36530020,44674616,38174893
1047,2022-12-04,98980990,36530020,44674842,38174893
1048,2022-12-05,99038798,36557861,44675006,38278536
1049,2022-12-06,99133789,36604648,44675172,38384992
1050,2022-12-07,99279229,36649979,44675413,38461021
1051,2022-12-08,99378455,36690235,44675662,38532642
1052,2022-12-09,99414998,36726061,44675872,38598292
1053,2022-12-10,99422186,36726061,44676045,38598292
1054,2022-12-11,99428500,36726061,44676045,38598292
1055,2022-12-12,99487847,36758926,44676318,38717933
1056,2022-12-13,99581078,36812671,44676470,38815319
1057,2022-12-14,99729246,36860998,44676670,38885679
1058,2022-12-15,99841367,36905873,44676832,38948220
1059,2022-12-16,99895955,36946574,44676999,39004649
1060,2022-12-17,99902767,36946574,44677175,39004649
1061,2022-12-18,99908625,36946574,44677310,39004649
1062,2022-12-19,99969013,36980883,44677422,39102670
1063,2022-12-20,100050937,37035898,44677554,39174528
1064,2022-12-21,100233060,37088426,44677739,39229380
1065,2022-12-22,100329204,37136414,44677902,39278897
1066,2022-12-23,100368433,37177845,44678103,39322741
1067,2022-12-24,100374955,37177845,44678330,39322741
1068,2022-12-25,100378169,37177845,44678517,39322741
1069,2022-12-26,100390601,37177845,44678683,39363485
1070,2022-12-27,100501536,37211978,44678871,39423584
1071,2022-12-28,100614880,37272430,44679139,39449665
1072,2022-12-29,100718983,37345969,44679382,39474380
1073,2022-12-30,100757380,37369865,44679608,39498188
1074,2022-12-31,100765333,37369866,44679873,39498188
1075,2023-01-01,100769628,37369867,44680046,39498188
1076,2023-01-02,100777938,37410650,44680180,39537275
1077,2023-01-03,100866744,37446795,44680355,39560482
1078,2023-01-04,101064860,37475448,44680543,39574616
1079,2023-01-05,101196089,37496370,44680771,39586288
1080,2023-01-06,101261277,37509539,44680985,39596671
1081,2023-01-07,101267132,37509539,44681148,39596671
1082,2023-01-08,101272842,37509539,44681318,39596671
1083,2023-01-09,101315853,37540072,44681439,39613891
1084,2023-01-10,101399138,37562191,44681610,39625664
1085,2023-01-11,101538756,37581570,44681807,39633417
1086,2023-01-12,101603736,37594526,44681981,39640595
1087,2023-01-13,101637051,37605135,44682160,39646833
1088,2023-01-14,101642336,37605135,44682264,39646833
1089,2023-01-15,101645654,37605135,44682378,39646833
1090,2023-01-16,101653171,37622357,44682467,39657663
1091,2023-01-17,101734426,37637807,44682595,39666044
1092,2023-01-18,101863056,37649808,44682729,39671999
1093,2023-01-19,101954244,37659518,44682874,39677034
1094,2023-01-20,101991763,37668384,44683005,39681509
1095,2023-01-21,101996891,37668384,44683145,39681509
1096,2023-01-22,102000179,37668384,44683239,39681509
1097,2023-01-23,102031232,37684456,44683328,39690337
1098,2023-01-24,102086966,37701193,44683430,39697613
1099,2023-01-25,102189274,37715000,44683562,39702995
1100,2023-01-26,102253390,37728155,44683661,39708282
1101,2023-01-27,102270311,37739472,44683754,39712963
1102,2023-01-28,102274906,37739472,44683863,39713004
1103,2023-01-29,102278398,37739472,44683943,39713004
1104,2023-01-30,102307529,37758773,44684009,39722301
1105,2023-01-31,102362870,37779833,44684120,39729161
1106,2023-02-01,102479379,37796790,44684248,39733692
1107,2023-02-02,102561054,37810199,44684347,39737713
1108,2023-02-03,102599784,37822577,44684475,39741331
1109,2023-02-04,102603942,37822577,44684588,39741331
1110,2023-02-05,102606868,37822577,44684679,39741331
1111,2023-02-06,102631179,37842223,44684768,39747993
1112,2023-02-07,102676694,37861703,44684864,39753017
1113,2023-02-08,102760211,37879714,44684973,39757008
1114,2023-02-09,102842061,37893892,44685087,39760676
1115,2023-02-10,102855101,37893892,44683862,39764042
1116,2023-02-11,102859510,37907312,44685219,39764042
1117,2023-02-12,102862879,37907312,44685425,39764042
1118,2023-02-13,102886005,37928944,44685499,39770404
1119,2023-02-14,102934224,37949446,44685601,39775390
1120,2023-02-15,103023231,37970357,44685727,39779373
1121,2023-02-16,103083910,37986750,44685884,39783394
1122,2023-02-17,103131898,38002114,44686001,39786983
1123,2023-02-18,103134605,38002114,44686143,39786983
1124,2023-02-19,103136077,38002114,44686263,39786983
1125,2023-02-20,103138119,38018111,44686358,39795116
1126,2023-02-21,103198669,38043874,44686483,39800890
1127,2023-02-22,103308832,38068912,44686676,39805492
1128,2023-02-23,103365511,38090089,44686842,39809981
1129,2023-02-24,103378408,38111063,44687025,39813898
1130,2023-02-25,103381157,38111063,44687243,39813898
1131,2023-02-26,103382763,38111063,44687428,39813898
1132,2023-02-27,103399827,38144033,44687597,39821524
1133,2023-02-28,103443455,38168908,44687837,39827175
1134,2023-03-01,103533872,38189954,44688105,39831700
1135,2023-03-02,103589757,38202571,44688388,39835896
1136,2023-03-03,103648690,38210850,44688722,39839090
1137,2023-03-04,103650837,38210850,44689046,39839090
1138,2023-03-05,103646975,38210851,44689327,39839090
1139,2023-03-06,103655539,38210851,44689593,39847236
1140,2023-03-07,103690910,38231610,44689919,39854299
1141,2023-03-08,103755771,38241231,44690298,39860410
1142,2023-03-09,103802702,38249060,44690738,39866718
